norm_text,label,freq,cum_freq,cum_pct,rank,bucket
the east in- dia company,ORG,1,2280,0.8416389811738649,985,tail
grand canal,FAC,1,2281,0.8420081210778885,986,tail
gover- nor lu,ORG,1,2282,0.8423772609819121,987,tail
281,CARDINAL,1,2283,0.8427464008859358,988,tail
manchubia,LOC,1,2284,0.8431155407899594,989,tail
the spring and summer months,DATE,1,2285,0.843484680693983,990,tail
the straits of malacca,LOC,1,2286,0.8438538205980066,991,tail
mandarin,LANGUAGE,1,2287,0.8442229605020303,992,tail
the treaty of nanking,LAW,1,2288,0.8445921004060539,993,tail
manchuria,LOC,1,2289,0.8449612403100775,994,tail
manchuria,GPE,1,2290,0.8453303802141011,995,tail
manchu,NORP,1,2291,0.8456995201181248,996,tail
many thousand,CARDINAL,1,2292,0.8460686600221484,997,tail
loch,PERSON,1,2293,0.8464377999261721,998,tail
lish,NORP,1,2294,0.8468069398301956,999,tail
the begin- ning of the present season,DATE,1,2295,0.8471760797342193,1000,tail
lintin,PERSON,1,2296,0.8475452196382429,1001,tail
lin-tiii,GPE,1,2297,0.8479143595422666,1002,tail
lin wei-hi,PERSON,1,2298,0.8482834994462901,1003,tail
manner of smoking opium,PRODUCT,1,2299,0.8486526393503138,1004,tail
the sooloo archipelago,LOC,1,2300,0.8490217792543374,1005,tail
liintin,GPE,1,2301,0.8493909191583611,1006,tail
matheson,PERSON,1,2302,0.8497600590623846,1007,tail
mdayan,NORP,1,2303,0.8501291989664083,1008,tail
mckean,PERSON,1,2304,0.8504983388704319,1009,tail
"may, 1844",DATE,1,2305,0.8508674787744556,1010,tail
may 21st,DATE,1,2306,0.8512366186784791,1011,tail
maxwell,PERSON,1,2307,0.8516057585825028,1012,tail
mauo,GPE,1,2308,0.8519748984865264,1013,tail
march 27 th,DATE,1,2309,0.8523440383905501,1014,tail
the six millions of dollars,MONEY,1,2310,0.8527131782945736,1015,tail
march 27,DATE,1,2311,0.8530823181985973,1016,tail
the sacrificial court,ORG,1,2312,0.8534514581026209,1017,tail
march 18th,DATE,1,2313,0.8538205980066446,1018,tail
the same day,DATE,1,2314,0.8541897379106681,1019,tail
the select committee,ORG,1,2315,0.8545588778146918,1020,tail
marawan,GPE,1,2316,0.8549280177187154,1021,tail
lin,GPE,1,2317,0.8552971576227391,1022,tail
this day,DATE,1,2318,0.8556662975267626,1023,tail
hfi nai-tsi,PERSON,1,2319,0.8560354374307863,1024,tail
ling ting,LOC,1,2320,0.8564045773348099,1025,tail
kum- sing-moan,GPE,1,2321,0.8567737172388336,1026,tail
ko-long-soo,GPE,1,2322,0.8571428571428571,1027,tail
ko seping*s,PERSON,1,2323,0.8575119970468807,1028,tail
three months,DATE,1,2324,0.8578811369509044,1029,tail
lin4in,GPE,1,2325,0.858250276854928,1030,tail
lien-chowy,GPE,1,2326,0.8586194167589516,1031,tail
lingin,LOC,1,2327,0.8589885566629752,1032,tail
kwang,PERSON,1,2328,0.8593576965669989,1033,tail
three,DATE,1,2329,0.8597268364710225,1034,tail
three inches,QUANTITY,1,2330,0.8600959763750461,1035,tail
thorn,PERSON,1,2331,0.8604651162790697,1036,tail
lintin,LOC,1,2332,0.8608342561830934,1037,tail
three hundred,CARDINAL,1,2333,0.861203396087117,1038,tail
this month,DATE,1,2334,0.8615725359911407,1039,tail
kwan-chung-tsze,GPE,1,2335,0.8619416758951642,1040,tail
"to 15,000",CARDINAL,1,2336,0.8623108157991879,1041,tail
lethe,LOC,1,2337,0.8626799557032115,1042,tail
ting- hai,GPE,1,2338,0.8630490956072352,1043,tail
leh-kong,GPE,1,2339,0.8634182355112587,1044,tail
leaoo-tung,GPE,1,2340,0.8637873754152824,1045,tail
three tens and six,CARDINAL,1,2341,0.864156515319306,1046,tail
tientsin,PERSON,1,2342,0.8645256552233297,1047,tail
lark’s bay,LOC,1,2343,0.8648947951273532,1048,tail
times,ORG,1,2344,0.8652639350313769,1049,tail
lankeet island,LOC,1,2345,0.8656330749354005,1050,tail
tinghai,GPE,1,2346,0.8660022148394242,1051,tail
ting-hae,GPE,1,2347,0.8663713547434477,1052,tail
kwoh si-ping,PERSON,1,2348,0.8667404946474714,1053,tail
kwantung,GPE,1,2349,0.867109634551495,1054,tail
kwangtung prov- ince,GPE,1,2350,0.8674787744555187,1055,tail
kwangtung,GPE,1,2351,0.8678479143595422,1056,tail
kwang-tung,GPE,1,2352,0.8682170542635659,1057,tail
medhurst,PERSON,1,2353,0.8685861941675895,1058,tail
medical missionary in china,PERSON,1,2354,0.8689553340716132,1059,tail
melbourne,PERSON,1,2355,0.8693244739756367,1060,tail
honan province,GPE,1,2356,0.8696936138796604,1061,tail
woo,PERSON,1,2357,0.870062753783684,1062,tail
woo-sung,PERSON,1,2358,0.8704318936877077,1063,tail
hong,PERSON,1,2359,0.8708010335917312,1064,tail
worship- ping island,LOC,1,2360,0.8711701734957549,1065,tail
wusung,GPE,1,2361,0.8715393133997785,1066,tail
xamoa,GPE,1,2362,0.8719084533038022,1067,tail
holt mackenzie,PERSON,1,2363,0.8722775932078257,1068,tail
whiff of the opium pipe,WORK_OF_ART,1,2364,0.8726467331118494,1069,tail
ho lankin,PERSON,1,2365,0.873015873015873,1070,tail
ho lan-kin,PERSON,1,2366,0.8733850129198967,1071,tail
hnidostan,GPE,1,2367,0.8737541528239202,1072,tail
hli nai-tsi,PERSON,1,2368,0.8741232927279439,1073,tail
hindoos,NORP,1,2369,0.8744924326319675,1074,tail
xix,CARDINAL,1,2370,0.8748615725359912,1075,tail
winter,DATE,1,2371,0.8752307124400147,1076,tail
hong*kong.,GPE,1,2372,0.8755998523440384,1077,tail
manchester,GPE,1,2373,0.875968992248062,1078,tail
hourly,TIME,1,2374,0.8763381321520857,1079,tail
hupeh,LOC,1,2375,0.8767072720561092,1080,tail
xxii.,CARDINAL,1,2376,0.8770764119601329,1081,tail
xx,CARDINAL,1,2377,0.8774455518641565,1082,tail
hugh gough,PERSON,1,2378,0.8778146917681802,1083,tail
howqua,PERSON,1,2379,0.8781838316722038,1084,tail
w. s. wetmore,PERSON,1,2380,0.8785529715762274,1085,tail
houqua,PERSON,1,2381,0.878922111480251,1086,tail
whampoa,PRODUCT,1,2382,0.8792912513842747,1087,tail
hoopih,GPE,1,2383,0.8796603912882983,1088,tail
wallace,PERSON,1,2384,0.8800295311923219,1089,tail
wan,PERSON,1,2385,0.8803986710963455,1090,tail
western india,LOC,1,2386,0.8807678110003692,1091,tail
wetmore,PERSON,1,2387,0.8811369509043928,1092,tail
hong- kong,GPE,1,2388,0.8815060908084164,1093,tail
hii nai-tsi,PERSON,1,2389,0.88187523071244,1094,tail
klying,PERSON,1,2390,0.8822443706164637,1095,tail
kingpo,GPE,1,2391,0.8826135105204873,1096,tail
m. de lagreno,PERSON,1,2392,0.8829826504245109,1097,tail
thelvialps,PERSON,1,2393,0.8833517903285345,1098,tail
m6i,CARDINAL,1,2394,0.8837209302325582,1099,tail
thirty,CARDINAL,1,2395,0.8840900701365818,1100,tail
"to 25,000",CARDINAL,1,2396,0.8844592100406053,1101,tail
thirty or forty years,DATE,1,2397,0.884828349944629,1102,tail
thirty taels,MONEY,1,2398,0.8851974898486527,1103,tail
m 162,FAC,1,2399,0.8855666297526763,1104,tail
ko seping,PERSON,1,2400,0.8859357696566998,1105,tail
lushington,PERSON,1,2401,0.8863049095607235,1106,tail
this and the previous year,DATE,1,2402,0.8866740494647471,1107,tail
loch’s events in china,WORK_OF_ART,1,2403,0.8870431893687708,1108,tail
macassar,GPE,1,2404,0.8874123292727943,1109,tail
manas,LOC,1,2405,0.887781469176818,1110,tail
mancharia,GPE,1,2406,0.8881506090808416,1111,tail
ma- layan,NORP,1,2407,0.8885197489848653,1112,tail
the yellow river,LOC,1,2408,0.8888888888888888,1113,tail
the years 1795-6 to 1805-6 inclusive,DATE,1,2409,0.8892580287929125,1114,tail
malwarries,ORG,1,2410,0.8896271686969361,1115,tail
madras,GPE,1,2411,0.8899963086009598,1116,tail
mahe isle,LOC,1,2412,0.8903654485049833,1117,tail
mahometan,NORP,1,2413,0.890734588409007,1118,tail
malacca,GPE,1,2414,0.8911037283130306,1119,tail
the year 1849,DATE,1,2415,0.8914728682170543,1120,tail
malay peninsula,LOC,1,2416,0.8918420081210778,1121,tail
the year 1838,DATE,1,2417,0.8922111480251015,1122,tail
malwa,GPE,1,2418,0.8925802879291251,1123,tail
the two centuries,DATE,1,2419,0.8929494278331488,1124,tail
the tsai-li society,ORG,1,2420,0.8933185677371724,1125,tail
malwa,LOC,1,2421,0.893687707641196,1126,tail
malwa,PERSON,1,2422,0.8940568475452196,1127,tail
malwah,GPE,1,2423,0.8944259874492433,1128,tail
several thousand,CARDINAL,1,2424,0.8947951273532669,1129,tail
the government of india,ORG,1,2425,0.8951642672572905,1130,tail
several^thousand myriad myriads,CARDINAL,1,2426,0.8955334071613141,1131,tail
only,CARDINAL,1,2427,0.8959025470653378,1132,tail
opium station,FAC,1,2428,0.8962716869693614,1133,tail
opium smokiny,FAC,1,2429,0.896640826873385,1134,tail
opium and the opium appetite,WORK_OF_ART,1,2430,0.8970099667774086,1135,tail
"the minute of the 14th of may, 1841",WORK_OF_ART,1,2431,0.8973791066814323,1136,tail
only 90 tons,QUANTITY,1,2432,0.8977482465854559,1137,tail
only 5 per cent,PERCENT,1,2433,0.8981173864894795,1138,tail
one-third,CARDINAL,1,2434,0.8984865263935031,1139,tail
the middle of the month of june,DATE,1,2435,0.8988556662975268,1140,tail
the manchu dynasty,DATE,1,2436,0.8992248062015504,1141,tail
one- third,CARDINAL,1,2437,0.899593946105574,1142,tail
port cornwallis,FAC,1,2438,0.8999630860095976,1143,tail
the malay peninsula,LOC,1,2439,0.9003322259136213,1144,tail
"the idth october, 1841",DATE,1,2440,0.9007013658176449,1145,tail
the imperial government,ORG,1,2441,0.9010705057216685,1146,tail
or three,CARDINAL,1,2442,0.9014396456256921,1147,tail
ouehterlony,PERSON,1,2443,0.9018087855297158,1148,tail
scores of years,DATE,1,2444,0.9021779254337394,1149,tail
the middle kingdom,FAC,1,2445,0.902547065337763,1150,tail
petche-li,GPE,1,2446,0.9029162052417866,1151,tail
persian,NORP,1,2447,0.9032853451458103,1152,tail
persia,GPE,1,2448,0.9036544850498339,1153,tail
pere gabet,PERSON,1,2449,0.9040236249538575,1154,tail
penang,GPE,1,2450,0.9043927648578811,1155,tail
the medical missionaey,ORG,1,2451,0.9047619047619048,1156,tail
pek,GPE,1,2452,0.9051310446659284,1157,tail
palembang,GPE,1,2453,0.905500184569952,1158,tail
payees,NORP,1,2454,0.9058693244739756,1159,tail
patnu,GPE,1,2455,0.9062384643779993,1160,tail
patnoy benaresf,PRODUCT,1,2456,0.9066076042820229,1161,tail
parthia,LOC,1,2457,0.9069767441860465,1162,tail
parsees,NORP,1,2458,0.9073458840900701,1163,tail
paris,GPE,1,2459,0.9077150239940938,1164,tail
scriptures,WORK_OF_ART,1,2460,0.9080841638981174,1165,tail
scinde,GPE,1,2461,0.9084533038021411,1166,tail
seychelle,NORP,1,2462,0.9088224437061646,1167,tail
secondary,ORDINAL,1,2463,0.9091915836101883,1168,tail
prince of wales's island,GPE,1,2464,0.9095607235142119,1169,tail
prince alfred,PERSON,1,2465,0.9099298634182356,1170,tail
priestman,PERSON,1,2466,0.9102990033222591,1171,tail
the legislative council,ORG,1,2467,0.9106681432262828,1172,tail
the mabomedan tartar war,EVENT,1,2468,0.9110372831303064,1173,tail
port may,LOC,1,2469,0.9114064230343301,1174,tail
one year,DATE,1,2470,0.9117755629383536,1175,tail
prussian,NORP,1,2471,0.9121447028423773,1176,tail
"nearly $750,000",MONEY,1,2472,0.9125138427464009,1177,tail
near 500,CARDINAL,1,2473,0.9128829826504246,1178,tail
narrative,WORK_OF_ART,1,2474,0.9132521225544481,1179,tail
the opium question,WORK_OF_ART,1,2475,0.9136212624584718,1180,tail
napier,ORG,1,2476,0.9139904023624954,1181,tail
nanking treaty,LAW,1,2477,0.914359542266519,1182,tail
prince of wales’s island,LOC,1,2478,0.9147286821705426,1183,tail
pule pinang,GPE,1,2479,0.9150978220745662,1184,tail
samboangan,GPE,1,2480,0.9154669619785899,1185,tail
romish,NORP,1,2481,0.9158361018826136,1186,tail
saigun,GPE,1,2482,0.9162052417866371,1187,tail
russian,NORP,1,2483,0.9165743816906607,1188,tail
russell & co.,ORG,1,2484,0.9169435215946844,1189,tail
the iniquities of the opium trade with china,WORK_OF_ART,1,2485,0.917312661498708,1190,tail
rupet's,MONEY,1,2486,0.9176818014027316,1191,tail
rose,PRODUCT,1,2487,0.9180509413067552,1192,tail
roman catholic,NORP,1,2488,0.9184200812107789,1193,tail
queen victoria,PERSON,1,2489,0.9187892211148025,1194,tail
robert peel,PERSON,1,2490,0.9191583610188261,1195,tail
rickards,PERSON,1,2491,0.9195275009228497,1196,tail
the kast india company,ORG,1,2492,0.9198966408268734,1197,tail
ricci,PERSON,1,2493,0.920265780730897,1198,tail
ghika,GPE,1,2494,0.9206349206349206,1199,tail
raj-,GPE,1,2495,0.9210040605389442,1200,tail
philadelphia,GPE,1,2496,0.9213732004429679,1201,tail
philippines,GPE,1,2497,0.9217423403469915,1202,tail
phlegethon,LOC,1,2498,0.9221114802510151,1203,tail
217,CARDINAL,1,2499,0.9224806201550387,1204,tail
22^ per cent,PERCENT,1,2500,0.9228497600590624,1205,tail
22° 33' north,QUANTITY,1,2501,0.923218899963086,1206,tail
238,CARDINAL,1,2502,0.9235880398671097,1207,tail
"238,043",CARDINAL,1,2503,0.9239571797711332,1208,tail
239,CARDINAL,1,2504,0.9243263196751569,1209,tail
"24,000",MONEY,1,2505,0.9246954595791805,1210,tail
380-384,CARDINAL,1,2506,0.9250645994832042,1211,tail
210 to 270 taels,MONEY,1,2507,0.9254337393872277,1212,tail
"3,000,000",MONEY,1,2508,0.9258028792912514,1213,tail
"3,147,481",CARDINAL,1,2509,0.926172019195275,1214,tail
"33,562",CARDINAL,1,2510,0.9265411590992987,1215,tail
"33,955",MONEY,1,2511,0.9269102990033222,1216,tail
34,CARDINAL,1,2512,0.9272794389073459,1217,tail
"34,800",CARDINAL,1,2513,0.9276485788113695,1218,tail
22,CARDINAL,1,2514,0.9280177187153932,1219,tail
242,CARDINAL,1,2515,0.9283868586194167,1220,tail
reach,LOC,1,2516,0.9287559985234404,1221,tail
25,CARDINAL,1,2517,0.929125138427464,1222,tail
"29,492",CARDINAL,1,2518,0.9294942783314877,1223,tail
290,CARDINAL,1,2519,0.9298634182355112,1224,tail
291,CARDINAL,1,2520,0.9302325581395349,1225,tail
"292,751",CARDINAL,1,2521,0.9306016980435585,1226,tail
27th,DATE,1,2522,0.9309708379475822,1227,tail
3,CARDINAL,1,2523,0.9313399778516057,1228,tail
"24,448",CARDINAL,1,2524,0.9317091177556294,1229,tail
210,CARDINAL,1,2525,0.932078257659653,1230,tail
200 to 250 cash,MONEY,1,2526,0.9324473975636767,1231,tail
